post_id,captured_at,platform,topic,public_text,language,location,inferred_audience,impressions,engagements,shares,comments,sentiment_score,source_verified
SOC-0033,2026-02-02,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Al Dhaid,Parents,61196,1836,349,129,-0.54,false
SOC-0034,2026-02-03,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Professionals,38986,1949,273,175,-0.25,true
SOC-0035,2026-02-04,X,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Kalba,Students,66471,7312,2925,1609,0.23,true
SOC-0036,2026-02-05,Instagram,trust,Including the date and source increased my trust,en,Al Dhaid,Professionals,56225,5060,607,1214,0.62,true
SOC-0037,2026-02-06,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Content creators,13206,1056,243,158,-0.20,false
SOC-0038,2026-02-07,TikTok,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Parents,45106,7217,650,938,-0.60,true
SOC-0039,2026-02-08,TikTok,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Content creators,31782,4132,1611,496,-0.49,true
SOC-0040,2026-02-09,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Content creators,33799,2366,355,426,-0.75,true
SOC-0041,2026-02-10,TikTok,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Content creators,19058,3049,732,457,0.69,false
SOC-0042,2026-02-11,YouTube,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Sharjah,Residents,60365,1811,743,344,0.17,true
SOC-0043,2026-02-12,TikTok,ai_content,Is this video authentic or AI-generated?,en,UAE,Parents,37564,6762,1893,1082,-0.33,true
SOC-0044,2026-02-13,Public forum,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,UAE,Youth,58403,3504,526,245,0.20,true
SOC-0045,2026-02-14,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Youth,47745,5729,1776,802,-0.59,false
SOC-0046,2026-02-15,X,official_sources,The official clarification arrived quickly and included clear details,en,Kalba,Youth,21863,2186,568,459,0.68,true
SOC-0047,2026-02-16,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Parents,40617,6499,845,1625,0.68,true
SOC-0048,2026-02-17,YouTube,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Residents,27011,4052,1621,203,0.80,true
SOC-0049,2026-02-18,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Residents,1071,86,13,24,-0.13,false
SOC-0050,2026-02-19,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Al Dhaid,Content creators,27187,2447,905,171,-0.23,false
SOC-0051,2026-02-20,X,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Content creators,22880,915,119,220,0.77,true
SOC-0052,2026-02-21,Public forum,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Residents,15615,468,164,47,0.04,true
SOC-0053,2026-02-22,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Students,50231,8037,2491,723,-0.71,false
SOC-0054,2026-02-23,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,UAE,Residents,23935,3830,1417,460,-0.69,false
SOC-0055,2026-02-24,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Al Dhaid,Youth,36767,2574,412,721,0.33,true
SOC-0056,2026-02-25,TikTok,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Khor Fakkan,Content creators,26885,2689,834,726,0.16,false
SOC-0057,2026-02-26,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Professionals,5663,906,353,136,-0.31,true
SOC-0058,2026-02-27,X,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Parents,30302,1515,485,152,0.69,true
SOC-0059,2026-02-28,X,source_verification,How can I verify the original source before sharing?,en,Kalba,Professionals,46574,7918,1188,1504,0.37,true
SOC-0060,2026-03-01,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Students,3566,464,186,42,-0.62,false
SOC-0061,2026-03-02,Public forum,rumor_control,The rumor should be clarified without amplifying it,en,Al Dhaid,Youth,32124,2249,382,630,0.13,true
SOC-0062,2026-03-03,Facebook,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Residents,19896,3382,1420,541,-0.41,false
SOC-0063,2026-03-04,X,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Kalba,Content creators,45887,5048,2019,909,0.65,true
SOC-0064,2026-03-05,Instagram,digital_literacy,The short verification steps are useful and actionable,en,UAE,Students,67595,6760,2704,879,0.96,true
SOC-0065,2026-03-06,YouTube,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Professionals,29548,4137,703,207,0.70,true
SOC-0066,2026-03-07,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Al Dhaid,Students,40728,1629,342,261,-0.77,false
SOC-0067,2026-03-08,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,UAE,Content creators,19899,597,185,36,0.09,true
SOC-0068,2026-03-09,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Content creators,36163,2893,550,376,-0.21,true
SOC-0069,2026-03-10,Facebook,trust,Including the date and source increased my trust,en,UAE,Students,41734,5008,751,250,0.77,false
SOC-0070,2026-03-11,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Kalba,Students,13443,2016,323,141,0.28,true
SOC-0071,2026-03-12,Facebook,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Students,28411,4546,1682,1046,-0.66,true
SOC-0072,2026-03-13,YouTube,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Content creators,20434,1430,186,286,-0.49,true
SOC-0073,2026-03-14,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Youth,41786,5014,1404,852,-0.66,false
SOC-0074,2026-03-15,X,digital_literacy,The short verification steps are useful and actionable,en,UAE,Youth,6024,783,290,55,0.92,true
SOC-0075,2026-03-16,YouTube,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Al Dhaid,Parents,48282,8691,3476,1912,0.47,true
SOC-0076,2026-03-17,Public forum,source_verification,How can I verify the original source before sharing?,en,Khor Fakkan,Students,58771,4114,1604,864,0.40,true
SOC-0077,2026-03-18,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Khor Fakkan,Residents,59418,8319,2413,1913,-0.60,false
SOC-0078,2026-03-19,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Al Dhaid,Residents,33533,1677,151,252,-0.61,false
SOC-0079,2026-03-20,Facebook,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Parents,3534,177,73,14,-0.60,true
SOC-0080,2026-03-21,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Content creators,33525,2012,342,101,-0.43,true
SOC-0081,2026-03-22,Facebook,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Residents,17258,2934,411,792,0.87,true
SOC-0082,2026-03-23,Instagram,rumor_control,The rumor should be clarified without amplifying it,en,UAE,Professionals,35948,1797,503,449,0.15,false
SOC-0083,2026-03-24,Public forum,rumor_control,The rumor should be clarified without amplifying it,en,Al Dhaid,Professionals,9673,193,77,25,0.13,false
SOC-0084,2026-03-25,Public forum,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Kalba,Parents,51687,2584,801,491,0.23,true
SOC-0085,2026-03-26,Instagram,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Students,52386,7334,2494,1760,0.74,true
SOC-0086,2026-03-27,X,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Students,33944,6110,1833,917,0.68,true
SOC-0087,2026-03-28,TikTok,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,UAE,Students,31453,3774,604,415,0.80,true
SOC-0088,2026-03-29,Instagram,digital_literacy,The short verification steps are useful and actionable,en,UAE,Professionals,67546,11483,2182,2526,0.94,true
SOC-0089,2026-03-30,Instagram,rumor_control,The rumor should be clarified without amplifying it,en,UAE,Residents,17695,2477,248,619,0.30,true
SOC-0090,2026-03-31,Facebook,ai_content,Is this video authentic or AI-generated?,en,Kalba,Residents,27278,1909,554,305,-0.36,false
SOC-0091,2026-04-01,Instagram,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Kalba,Students,56891,3413,478,580,0.43,false
SOC-0092,2026-04-02,Instagram,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Professionals,11712,1991,637,458,0.76,true
SOC-0093,2026-04-03,Public forum,official_sources,The official clarification arrived quickly and included clear details,en,Kalba,Residents,42479,6797,952,1835,0.80,true
SOC-0094,2026-04-04,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Students,65297,11100,1221,3108,0.35,true
SOC-0095,2026-04-05,Public forum,source_verification,How can I verify the original source before sharing?,en,Sharjah,Youth,15810,1107,111,122,0.54,true
SOC-0096,2026-04-06,Public forum,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Professionals,9584,671,248,181,0.67,false
SOC-0097,2026-04-07,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Residents,14070,2533,937,127,-0.66,true
SOC-0098,2026-04-08,Facebook,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Youth,21461,1073,322,193,0.55,true
SOC-0099,2026-04-09,Public forum,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Sharjah,Youth,3549,390,140,55,0.68,false
SOC-0100,2026-04-10,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Khor Fakkan,Residents,15360,461,138,23,-0.52,false
SOC-0101,2026-04-11,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Content creators,9640,578,139,139,-0.53,true
SOC-0102,2026-04-12,TikTok,digital_literacy,The short verification steps are useful and actionable,en,Kalba,Parents,26838,1342,161,349,0.86,true
SOC-0103,2026-04-13,TikTok,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Khor Fakkan,Parents,1104,66,21,7,0.65,true
SOC-0104,2026-04-14,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Residents,66263,3313,1325,199,-0.50,true
SOC-0105,2026-04-15,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Al Dhaid,Youth,48546,1456,131,364,-0.70,false
SOC-0106,2026-04-16,TikTok,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Youth,51115,9201,2484,1932,0.82,true
SOC-0107,2026-04-17,Facebook,digital_literacy,The short verification steps are useful and actionable,en,Kalba,Professionals,53472,9090,1636,2363,0.94,true
SOC-0108,2026-04-18,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Content creators,60517,3631,617,581,0.30,false
SOC-0109,2026-04-19,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Students,31101,933,187,65,0.75,true
SOC-0110,2026-04-20,TikTok,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Content creators,55755,8363,1422,1756,-0.21,true
SOC-0111,2026-04-21,YouTube,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Students,49054,4415,574,795,0.36,false
SOC-0112,2026-04-22,YouTube,breaking_news,The news is urgent but has no link to a trusted source,en,Al Dhaid,Content creators,46866,1406,576,169,-0.51,true
SOC-0113,2026-04-23,Facebook,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Content creators,62543,3753,826,450,0.68,true
SOC-0114,2026-04-24,YouTube,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Youth,15739,630,69,63,-0.68,false
SOC-0115,2026-04-25,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Professionals,41703,6672,534,1801,-0.55,false
SOC-0116,2026-04-26,Instagram,source_verification,How can I verify the original source before sharing?,en,Sharjah,Residents,22316,446,45,45,0.44,false
SOC-0117,2026-04-27,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Residents,54183,3793,683,531,0.50,false
SOC-0118,2026-04-28,Facebook,breaking_news,The news is urgent but has no link to a trusted source,en,Kalba,Content creators,66725,10676,3630,2883,-0.43,false
SOC-0119,2026-04-29,TikTok,ai_content,Is this video authentic or AI-generated?,en,Sharjah,Youth,41111,5344,1817,1069,-0.18,false
SOC-0120,2026-04-30,Facebook,misinformation,The image is real but its caption is misleading,en,Sharjah,Parents,19029,381,156,76,-0.63,false
SOC-0121,2026-05-01,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Professionals,51485,4119,1236,494,0.29,true
SOC-0122,2026-05-02,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Residents,34411,3785,757,492,-0.76,true
SOC-0123,2026-05-03,Public forum,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Content creators,36525,2192,351,153,-0.18,true
SOC-0124,2026-05-04,Instagram,ai_content,Is this video authentic or AI-generated?,en,Al Dhaid,Content creators,47239,3307,331,694,-0.09,false
SOC-0125,2026-05-05,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Professionals,4307,560,202,140,-0.30,false
SOC-0126,2026-05-06,Facebook,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Khor Fakkan,Professionals,9006,1351,230,176,0.76,true
SOC-0127,2026-05-07,Public forum,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Youth,62790,8163,2286,1714,-0.16,false
SOC-0128,2026-05-08,Facebook,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Professionals,25410,508,147,51,-0.62,false
SOC-0129,2026-05-09,X,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Al Dhaid,Professionals,4779,812,227,73,0.67,true
SOC-0130,2026-05-10,X,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Professionals,48261,965,232,154,-0.66,false
SOC-0131,2026-05-11,TikTok,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Al Dhaid,Professionals,16745,3014,754,271,0.72,true
SOC-0132,2026-05-12,Instagram,ai_content,Is this video authentic or AI-generated?,en,Al Dhaid,Youth,3332,133,45,9,-0.30,false
SOC-0133,2026-05-13,X,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Students,42681,3841,1306,461,-0.45,true
SOC-0134,2026-05-14,Instagram,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Content creators,33326,4999,1050,1050,0.28,false
SOC-0135,2026-05-15,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Students,41152,1235,420,272,0.40,false
SOC-0136,2026-05-16,Instagram,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Khor Fakkan,Parents,48490,4364,916,1047,0.66,true
SOC-0137,2026-05-17,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Youth,46399,4176,1086,793,-0.51,true
SOC-0138,2026-05-18,Public forum,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,UAE,Youth,66216,3311,497,828,0.29,false
SOC-0139,2026-05-19,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Residents,48143,3370,1281,910,0.37,false
SOC-0140,2026-05-20,Instagram,rumor_control,The rumor should be clarified without amplifying it,en,UAE,Parents,34818,1741,627,226,0.16,false
SOC-0141,2026-05-21,TikTok,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Parents,13710,1234,160,234,-0.60,false
SOC-0142,2026-05-22,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Khor Fakkan,Residents,45300,7248,1812,942,-0.52,false
SOC-0143,2026-05-23,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Kalba,Professionals,24439,1955,782,98,0.54,true
SOC-0144,2026-05-24,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Sharjah,Content creators,54423,5442,1197,1034,0.21,true
SOC-0145,2026-05-25,Instagram,trust,Including the date and source increased my trust,en,Kalba,Professionals,24468,3181,445,668,0.82,false
SOC-0146,2026-05-26,TikTok,breaking_news,The news is urgent but has no link to a trusted source,en,Khor Fakkan,Youth,53406,4272,812,256,-0.58,true
SOC-0147,2026-05-27,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Students,67708,3385,372,305,-0.68,false
SOC-0148,2026-05-28,Public forum,misinformation,The image is real but its caption is misleading,en,Khor Fakkan,Students,27979,5036,1360,906,-0.71,true
SOC-0149,2026-05-29,Facebook,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Khor Fakkan,Youth,35452,2482,546,596,0.81,true
SOC-0150,2026-05-30,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Parents,38310,6513,2345,1563,-0.18,true
SOC-0151,2026-05-31,TikTok,official_sources,The official clarification arrived quickly and included clear details,en,Sharjah,Content creators,2242,45,15,9,0.62,true
SOC-0152,2026-06-01,TikTok,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Content creators,18832,1130,192,79,-0.60,false
SOC-0153,2026-06-02,X,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Youth,4241,721,202,50,-0.47,true
SOC-0154,2026-06-03,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Students,30171,4526,679,453,-0.60,false
SOC-0155,2026-06-04,Facebook,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Students,31495,3150,662,252,0.76,true
SOC-0156,2026-06-05,TikTok,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Khor Fakkan,Professionals,14852,1337,120,214,-0.62,true
SOC-0157,2026-06-06,Instagram,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Residents,53815,5382,2153,592,0.36,false
SOC-0158,2026-06-07,X,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Youth,36235,1087,359,304,-0.58,false
SOC-0159,2026-06-08,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Students,29566,1478,133,414,-0.10,false
SOC-0160,2026-06-09,Public forum,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Residents,2962,474,52,95,0.71,true
SOC-0161,2026-06-10,TikTok,breaking_news,The news is urgent but has no link to a trusted source,en,UAE,Professionals,52804,7393,2809,813,-0.60,true
SOC-0162,2026-06-11,YouTube,source_verification,How can I verify the original source before sharing?,en,Kalba,Residents,12810,769,246,46,0.44,false
SOC-0163,2026-06-12,Facebook,trust,Including the date and source increased my trust,en,UAE,Parents,57301,10314,2991,1857,0.82,false
SOC-0164,2026-06-13,Public forum,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Students,5759,864,95,173,-0.60,true
SOC-0165,2026-06-14,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Youth,13313,932,298,130,-0.18,true
SOC-0166,2026-06-15,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Professionals,2785,334,117,50,0.93,true
SOC-0167,2026-06-16,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Parents,54526,8724,1047,785,-0.09,false
SOC-0168,2026-06-17,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Residents,17193,1719,602,189,-0.09,false
SOC-0169,2026-06-18,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Professionals,46282,8331,2333,750,-0.08,true
SOC-0170,2026-06-19,X,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Residents,54791,8219,740,904,0.75,true
SOC-0171,2026-06-20,YouTube,source_verification,How can I verify the original source before sharing?,en,Al Dhaid,Content creators,11904,476,52,67,0.49,true
SOC-0172,2026-06-21,YouTube,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Students,67671,7444,2308,670,-0.67,true
