result_id,report_date,campaign_name,creative_id,message_ar,message_en,media_channel,placement,audience_cohort,impressions,unique_reach,engagements,shares,link_clicks,completed_views,observed_verification_actions,negative_feedback,spend_aed
PERF-0022,2026-01-22,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",YouTube,Pre-roll,Residents,20784,18290,732,146,256,1829,128,22,3556
PERF-0023,2026-01-23,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Reels,Parents,144588,95428,14314,1861,2720,27674,1088,573,5685
PERF-0024,2026-01-24,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,YouTube,Feed,Parents,89609,65415,1962,235,294,31399,188,78,4222
PERF-0025,2026-01-25,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",X,Promoted post,Professionals,174953,153959,21554,1509,6035,12317,3561,647,3646
PERF-0026,2026-01-26,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,YouTube,Pre-roll,Parents,85598,63343,9501,2755,3420,22803,1710,95,1078
PERF-0027,2026-01-27,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Feed,Students,26939,20474,2662,293,958,7985,374,0,1714
PERF-0028,2026-01-28,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Feed,Parents,104173,89589,14334,2293,1720,9855,482,0,3369
PERF-0029,2026-01-29,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Pre-roll,Professionals,94415,67979,10197,816,4589,29911,2019,0,4083
PERF-0030,2026-01-30,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Government portal,Feed,Youth,153719,132198,10576,2327,1692,35693,558,212,4542
PERF-0031,2026-01-31,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Stories,Students,163156,138683,20802,1872,5825,51313,2621,624,5181
PERF-0032,2026-02-01,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Promoted post,Content creators,73471,62450,8119,1380,1218,21858,828,0,1398
PERF-0033,2026-02-02,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Pre-roll,Residents,13630,11994,720,122,122,4918,50,29,4344
PERF-0034,2026-02-03,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Pre-roll,Residents,95893,70961,3548,1064,1526,15611,366,35,2763
PERF-0035,2026-02-04,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Promoted post,Students,81714,58017,2321,162,580,6382,273,46,3029
PERF-0036,2026-02-05,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Feed,Residents,76929,58466,5847,1637,1813,24556,689,117,3270
PERF-0037,2026-02-06,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Stories,Professionals,130751,91526,7322,586,2197,17390,1033,146,5881
PERF-0038,2026-02-07,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Promoted post,Content creators,115392,77313,6958,1252,1252,9278,739,278,2338
PERF-0039,2026-02-08,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Promoted post,Content creators,90621,58904,7658,2374,919,24740,239,153,2552
PERF-0040,2026-02-09,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Promoted post,Parents,92051,81005,5670,397,1531,32402,291,0,906
PERF-0041,2026-02-10,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",X,Reels,Residents,87670,77150,11573,3240,3009,19288,1053,0,4680
PERF-0042,2026-02-11,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Instagram,Reels,Parents,26304,19202,3264,392,490,3264,206,98,2074
PERF-0043,2026-02-12,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Reels,Content creators,99296,76458,12233,1468,3792,38229,720,489,1718
PERF-0044,2026-02-13,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,TikTok,Stories,Professionals,142540,88375,6186,619,2536,37118,609,62,1162
PERF-0045,2026-02-14,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Promoted post,Students,84424,63318,2533,785,583,13297,280,76,2772
PERF-0046,2026-02-15,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Reels,Youth,178088,147813,22172,3104,9977,81297,6984,222,5604
PERF-0047,2026-02-16,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",TikTok,Reels,Professionals,37655,23346,1868,168,280,3035,73,75,2868
PERF-0048,2026-02-17,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Reels,Professionals,126768,109020,18533,5560,1853,20714,1001,556,5563
PERF-0049,2026-02-18,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Promoted post,Youth,28527,21110,3378,540,1284,5911,629,34,650
PERF-0050,2026-02-19,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Promoted post,Content creators,19322,17390,1913,402,440,3130,290,77,3546
PERF-0051,2026-02-20,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Promoted post,Parents,133612,108226,18398,4232,6255,32468,3128,0,783
PERF-0052,2026-02-21,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,TikTok,Reels,Residents,71041,55412,8866,887,2571,18840,823,266,2590
PERF-0053,2026-02-22,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Stories,Youth,161921,137633,22021,5285,7267,50924,2180,661,4692
PERF-0054,2026-02-23,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,YouTube,Feed,Youth,140597,108260,6496,1234,2923,11909,1900,260,4283
PERF-0055,2026-02-24,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Promoted post,Professionals,41158,30869,4939,889,494,2778,336,49,424
PERF-0056,2026-02-25,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Government portal,Feed,Residents,47097,31084,5284,581,1902,14920,380,0,5519
PERF-0057,2026-02-26,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Reels,Professionals,115236,84122,7571,2347,909,29443,645,151,3215
PERF-0058,2026-02-27,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Reels,Youth,91473,78667,2360,142,590,12587,165,24,818
PERF-0059,2026-02-28,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Promoted post,Residents,154231,98708,13819,3593,3869,15793,2244,138,4093
PERF-0060,2026-03-01,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Pre-roll,Youth,68270,55299,4424,354,796,13825,565,177,616
PERF-0061,2026-03-02,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",X,Feed,Youth,90056,75647,5295,847,2224,38580,1490,212,877
PERF-0062,2026-03-03,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Promoted post,Youth,133460,113441,14747,3097,5899,11344,1062,590,2526
PERF-0063,2026-03-04,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Promoted post,Students,56534,51446,2058,391,535,4630,209,62,2851
PERF-0064,2026-03-05,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",TikTok,Feed,Youth,149756,113815,6829,1366,1707,63736,1041,68,5417
PERF-0065,2026-03-06,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,TikTok,Feed,Parents,172858,153844,12308,3815,2215,35384,975,246,3619
PERF-0066,2026-03-07,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Promoted post,Youth,169934,127451,7647,2371,3518,54804,2252,0,4623
PERF-0067,2026-03-08,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Stories,Professionals,108522,91158,12762,3573,2680,8204,1635,510,2640
PERF-0068,2026-03-09,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,X,Promoted post,Professionals,73428,66085,5948,1011,2677,7930,1553,119,5366
PERF-0069,2026-03-10,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Reels,Students,19319,17580,1582,174,396,2813,186,63,5808
PERF-0070,2026-03-11,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,X,Pre-roll,Content creators,144956,91322,15525,3571,5123,21004,1537,155,3706
PERF-0071,2026-03-12,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,X,Reels,Content creators,175717,117730,10596,2861,2967,60042,1662,318,5840
PERF-0072,2026-03-13,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Promoted post,Students,160629,107621,12915,2841,3487,48429,1813,0,729
PERF-0073,2026-03-14,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Feed,Content creators,158700,125373,18806,1128,8275,48895,3145,188,3438
PERF-0074,2026-03-15,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Stories,Parents,53899,38807,3493,978,1607,21344,932,70,5312
PERF-0075,2026-03-16,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Pre-roll,Professionals,37550,32669,1633,196,719,2940,144,33,5037
PERF-0076,2026-03-17,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,TikTok,Reels,Residents,99379,61615,4313,690,1941,30808,427,86,5180
PERF-0077,2026-03-18,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Pre-roll,Parents,18951,16487,2473,495,1063,8244,468,49,6064
PERF-0078,2026-03-19,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Promoted post,Content creators,159850,135873,19022,2283,1902,46197,1027,761,6047
PERF-0079,2026-03-20,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,X,Stories,Professionals,38935,27255,2453,294,1104,10902,265,25,429
PERF-0080,2026-03-21,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Reels,Professionals,139447,115741,4630,1204,926,23148,565,139,2724
PERF-0081,2026-03-22,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,YouTube,Feed,Youth,28274,19509,1756,457,579,2731,400,35,4026
PERF-0082,2026-03-23,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Instagram,Reels,Youth,160700,110883,17741,5500,1952,41027,429,355,4501
PERF-0083,2026-03-24,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Feed,Students,73721,63400,6340,1585,2790,25994,1730,127,1100
PERF-0084,2026-03-25,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",X,Promoted post,Parents,67705,60257,4821,820,1928,11449,578,145,5668
PERF-0085,2026-03-26,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Stories,Residents,55788,50209,4519,1265,633,21088,317,0,1150
PERF-0086,2026-03-27,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Promoted post,Content creators,50880,45792,2290,160,412,24270,99,92,2996
PERF-0087,2026-03-28,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,TikTok,Pre-roll,Students,20248,15996,800,144,168,3359,114,16,1120
PERF-0088,2026-03-29,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,TikTok,Pre-roll,Youth,19222,15762,630,38,145,2680,48,19,907
PERF-0089,2026-03-30,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Stories,Content creators,85011,68009,10201,2550,2652,8161,1406,102,2187
PERF-0090,2026-03-31,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Feed,Youth,132668,118075,17711,4074,4959,43688,2727,708,4660
PERF-0091,2026-04-01,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Promoted post,Professionals,148184,131884,10551,844,1055,71217,549,106,4779
PERF-0092,2026-04-02,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Pre-roll,Professionals,170518,129594,19439,1944,7776,54429,3421,194,367
PERF-0093,2026-04-03,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Pre-roll,Students,112840,73346,7335,587,2421,25671,484,147,3742
PERF-0094,2026-04-04,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,YouTube,Reels,Residents,83004,58933,2357,589,1061,32413,647,94,5910
PERF-0095,2026-04-05,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Stories,Professionals,58809,41754,1670,217,367,7098,132,17,1236
PERF-0096,2026-04-06,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Feed,Parents,16424,10840,759,129,288,4986,207,15,3344
PERF-0097,2026-04-07,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Feed,Content creators,93712,59976,5398,702,864,20392,181,54,3761
PERF-0098,2026-04-08,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Reels,Residents,120758,82115,9033,2349,2439,29561,1146,271,3455
PERF-0099,2026-04-09,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Pre-roll,Parents,95977,74862,8983,1258,1527,14972,748,90,919
PERF-0100,2026-04-10,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Pre-roll,Professionals,39000,29250,3510,983,1404,3803,604,0,1752
PERF-0101,2026-04-11,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Pre-roll,Professionals,103634,89125,14260,2852,4421,49910,2520,0,5180
PERF-0102,2026-04-12,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Stories,Professionals,138387,119013,17852,1607,1785,47605,482,0,1280
PERF-0103,2026-04-13,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,X,Promoted post,Residents,91893,62487,8123,1056,1706,18746,938,0,1773
PERF-0104,2026-04-14,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Feed,Students,19908,12741,1656,99,530,2676,228,17,2762
PERF-0105,2026-04-15,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Promoted post,Parents,81772,60511,3026,545,726,30256,189,91,2474
PERF-0106,2026-04-16,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Government portal,Pre-roll,Professionals,100909,70636,12008,2882,4203,24016,2438,240,4546
PERF-0107,2026-04-17,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,X,Feed,Residents,158931,143038,11443,2289,2517,21456,1158,0,626
PERF-0108,2026-04-18,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Instagram,Stories,Professionals,158726,122219,3667,990,587,25666,123,0,3852
PERF-0109,2026-04-19,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",YouTube,Pre-roll,Students,98293,72737,10911,1964,3382,24731,2435,327,5701
PERF-0110,2026-04-20,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Feed,Residents,70147,49103,3928,668,1178,14731,495,0,478
PERF-0111,2026-04-21,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Feed,Content creators,25666,19250,1733,225,433,3658,160,0,2592
PERF-0112,2026-04-22,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Reels,Students,22598,15819,949,142,95,8859,53,9,2975
PERF-0113,2026-04-23,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,YouTube,Feed,Professionals,76131,63950,5116,563,1432,15988,415,205,5954
PERF-0114,2026-04-24,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Instagram,Promoted post,Residents,147167,104489,12539,1129,5517,24032,2924,125,3888
PERF-0115,2026-04-25,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",X,Promoted post,Parents,166308,124731,4989,748,1497,69849,734,100,458
PERF-0116,2026-04-26,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Pre-roll,Professionals,27701,18006,900,126,126,5582,54,0,5207
PERF-0117,2026-04-27,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,TikTok,Reels,Youth,173379,143905,21586,1511,6476,14391,2072,0,4070
PERF-0118,2026-04-28,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Stories,Students,152849,114637,11464,2064,3554,44708,711,115,639
PERF-0119,2026-04-29,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,YouTube,Promoted post,Youth,103717,76751,12280,1105,2702,19955,621,0,2747
PERF-0120,2026-04-30,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,X,Promoted post,Students,47914,38331,6133,613,1779,21465,890,0,6190
PERF-0121,2026-05-01,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Instagram,Promoted post,Youth,151989,110952,7767,1165,1010,39943,374,233,3613
PERF-0122,2026-05-02,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Feed,Students,113545,86294,8629,2244,2761,28477,1160,173,4188
PERF-0123,2026-05-03,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Pre-roll,Youth,145211,111812,11181,2683,4361,14536,1919,335,3421
PERF-0124,2026-05-04,Ask Before You Share,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",TikTok,Stories,Professionals,109179,97169,6802,1905,1905,18462,933,272,4404
PERF-0125,2026-05-05,Ask Before You Share,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,YouTube,Promoted post,Youth,57470,37356,5603,504,2129,13075,405,168,5134
PERF-0126,2026-05-06,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,YouTube,Promoted post,Residents,81738,60486,10283,1645,4422,15726,2078,0,2955
PERF-0127,2026-05-07,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,Government portal,Reels,Residents,125324,99006,16831,2356,6564,30692,1707,168,4110
PERF-0128,2026-05-08,Ask Before You Share,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Feed,Content creators,86952,64344,8365,2259,2342,12225,703,335,2140
PERF-0129,2026-05-09,Ask Before You Share,MSG-E,المصدر والتاريخ أول خطوتين للتحقق,Source and date are the first two verification checks,Instagram,Stories,Students,105267,94740,13264,3581,6101,29369,3234,265,5099
PERF-0130,2026-05-10,Ask Before You Share,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,YouTube,Feed,Content creators,100650,66429,3986,279,1634,7971,1127,0,4853
PERF-0131,2026-05-11,Check the Source,MSG-A,تأكد من صحة الخبر قبل مشاركته,Verify the news before sharing it,TikTok,Pre-roll,Youth,124725,78577,10215,1328,1839,14144,497,409,2291
PERF-0132,2026-05-12,Check the Source,MSG-C,خذ عشر ثوان وتأكد من المصدر,Take ten seconds to check the source,Government portal,Promoted post,Content creators,11207,7845,549,115,203,4315,112,16,3285
PERF-0133,2026-05-13,Check the Source,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",Government portal,Feed,Youth,120508,93996,2820,395,1213,15039,449,113,4339
PERF-0134,2026-05-14,Check the Source,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,TikTok,Promoted post,Parents,132743,90265,12637,1516,1264,18053,872,0,621
PERF-0135,2026-05-15,Check the Source,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,Government portal,Reels,Content creators,93477,73847,5908,1595,709,14031,362,59,730
PERF-0136,2026-05-16,Check the Source,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,TikTok,Feed,Students,46415,34811,5570,613,780,10095,179,0,5853
PERF-0137,2026-05-17,Check the Source,MSG-B,قبل ما تشارك اسأل: من المصدر؟,"Before sharing, ask: who is the source?",YouTube,Stories,Professionals,124819,88621,14179,3687,5246,24814,2623,0,3053
PERF-0138,2026-05-18,Check the Source,MSG-D,مش كل شيء تشوفه حقيقة,Not everything you see is true,TikTok,Promoted post,Content creators,159041,122462,17145,1372,5315,28166,2870,0,2560
